theta,a1,z1,a2,b2,z2,status
0,3.8,1.3,1.6,4.4,0.0,NotYet
5,3.8,1.3,-1.1,4.4,0.0,NotYet
10,3.8,1.3,-1.2,4.4,0.0,NotYet
15,4.1,0.1,-1.7,4.2,0.0,NotYet
20,4.0,0.0,-1.7,4.2,0.0,NotYet
25,4.1,0.0,-1.9,4.1,0.0,NotYet
30,4.4,0.0,-2.3,3.9,0.0,NotYet
35,4.6,0.0,2.0,3.7,0.0,NotYet
40,4.7,0.0,2.0,3.6,0.0,NotYet
45,5.2,1.2,2.1,3.3,-1.3,NotYet
50,5.2,1.3,2.0,3.3,-1.3,NotYet
55,5.2,1.3,2.0,3.3,1.3,NotYet
60,5.1,1.3,1.9,3.4,-1.3,NotYet
65,5.0,1.3,1.7,3.5,-1.3,NotYet
70,4.5,0.0,1.3,3.6,-1.3,NotYet
75,4.3,0.0,1.1,3.7,-1.3,NotYet
80,4.2,0.0,1.0,3.7,1.3,NotYet
85,4.2,0.0,1.0,3.7,1.3,NotYet
90,4.3,0.1,0.8,3.8,-1.3,NotYet
